file	iso	width	height	noise_ratio	detail_score	colorfulness_proxy
DSC_5236.NEF	1600	6048	4032	0.5211	2.18	7.6265
DSC_5237.NEF	1600	6048	4032	0.538	1.6	7.0018
DSC_5238.NEF	1600	6048	4032	0.5297	2.07	7.8803
DSC_5239.NEF	1600	6048	4032	0.5188	1.74	7.8248
DSC_5240.NEF	1000	6048	4032	0.4372	1.2	6.9039
DSC_5241.NEF	640	6048	4032	0.4137	0.81	6.8793
DSC_5242.NEF	640	6048	4032	0.5961	1.2	7.4318
DSC_5243.NEF	800	6048	4032	0.5607	2.19	10.4853
DSC_5244.NEF	800	6048	4032	0.4934	2.95	10.2449
DSC_5245.NEF	800	6048	4032	0.6114	3.04	9.295
DSC_5247.NEF	640	6048	4032	0.5338	4.13	9.0653
DSC_5248.NEF	640	6048	4032	0.5185	3.97	8.8299
DSC_5249.NEF	640	6048	4032	0.5362	3.66	8.825
DSC_5250.NEF	640	6048	4032	0.5971	2.15	8.662
DSC_5278.NEF	8000	6048	4032	0.6139	2.67	10.3755
DSC_5279.NEF	8000	6048	4032	0.6349	2.36	10.3075
DSC_5290.NEF	6400	6048	4032	0.6289	1.99	10.4973
DSC_5291.NEF	6400	6048	4032	0.6274	2.01	10.48
DSC_5292.NEF	6400	6048	4032	0.4724	3.71	6.8155
DSC_5293.NEF	6400	6048	4032	0.4923	3.45	6.8024
DSC_5294.NEF	6400	6048	4032	0.4858	3.67	6.8551
DSC_5295.NEF	6400	6048	4032	0.4893	3.56	6.8876
DSC_5309.NEF	6400	6048	4032	0.6353	1.81	7.2569
DSC_5310.NEF	6400	6048	4032	0.6324	1.82	7.2991
DSC_5314.NEF	12800	6048	4032	0.7416	2.21	9.0373
DSC_5315.NEF	12800	6048	4032	0.7473	2.21	8.2814
