session,group,name,orient,rot_k,orient_fallback,align,cc,A,B,C_raw,C_al,C_bug,dL,da,db,our_p05,cam_p05,our_p995,cam_p995,our_clip_lo,cam_clip_lo,our_clip_hi,cam_clip_hi,ar,dhash,err,path
0711,raw,DSC_5237.NEF,1,0,False,ok,0.9706,20.562,21.029,21.477,21.731,21.477,-20.481,-1.783,-0.371,5.0,18.0,126.0,205.0,1.427,0.015,0.0,0.059,1.5,d03838b466fbc9e0,,K:\data\photo\0711\raw\DSC_5237.NEF
0711,raw,DSC_5533.NEF,8,-1,False,ok,0.9561,33.059,33.963,34.385,34.756,40.413,-32.522,3.803,4.552,3.0,15.0,124.0,210.0,1.972,0.019,0.0,0.012,1.5,f8f8e0a0b0b8fcec,,K:\data\photo\0711\raw\DSC_5533.NEF
0711,raw,DSC_5591.NEF,1,0,False,ok,0.9494,32.218,34.455,35.795,36.035,35.795,-32.022,3.049,1.807,6.0,20.0,139.0,222.0,5.411,0.669,0.0,0.021,1.5,cccaccce7433469a,,K:\data\photo\0711\raw\DSC_5591.NEF
0711,raw,DSC_5597.NEF,1,0,False,ok,0.9534,32.538,37.015,38.914,39.37,38.914,-32.04,0.896,-5.602,5.0,17.0,123.0,208.0,11.146,4.262,0.0,0.006,1.5,34b4c4e6e4c9e33e,,K:\data\photo\0711\raw\DSC_5597.NEF
0711,raw,DSC_5660.NEF,1,0,False,ok,0.9621,31.826,33.339,34.081,34.363,34.081,-31.665,3.154,0.524,7.0,28.0,153.0,233.0,0.471,0.003,0.0,0.03,1.5,80d0c2e4e4c5e6ec,,K:\data\photo\0711\raw\DSC_5660.NEF
0711,raw,DSC_5718.NEF,1,0,False,ok,0.9522,33.128,34.378,34.854,34.998,34.854,-33.081,1.539,-0.86,8.0,29.0,147.0,228.0,0.709,0.507,0.0,0.0,1.5,e4c48e86e42460f8,,K:\data\photo\0711\raw\DSC_5718.NEF
0711,raw,DSC_5828.NEF,1,0,False,ok,0.9756,24.898,26.917,27.505,27.674,27.505,-23.463,2.847,-7.83,4.0,16.0,160.0,241.0,7.484,0.333,0.0,0.495,1.5,8e9eaec8f8ecf4f8,,K:\data\photo\0711\raw\DSC_5828.NEF
0711,raw,DSC_5879.NEF,1,0,False,ok,0.9931,21.352,22.75,23.106,23.239,23.106,-21.16,1.373,-2.502,1.0,4.0,67.0,151.0,30.538,24.361,0.0,0.0,1.5,d0d8d8d8d8c0e0d0,,K:\data\photo\0711\raw\DSC_5879.NEF
0711,raw,DSC_5889.NEF,1,0,False,ok,0.99,16.79,17.508,17.683,17.784,17.683,-16.755,1.076,-0.091,1.0,4.0,89.0,178.0,42.56,29.098,0.0,0.0,1.5,e0f0f0e0f0fc60a0,,K:\data\photo\0711\raw\DSC_5889.NEF
0711,raw,DSC_5926.NEF,1,0,False,ok,0.9849,24.13,26.738,27.138,27.316,27.138,-23.136,1.487,-6.693,2.0,8.0,93.0,184.0,26.907,11.019,0.0,0.0,1.5,d0e060f4f8e8fce0,,K:\data\photo\0711\raw\DSC_5926.NEF
