session,group,name,orient,rot_k,orient_fallback,align,cc,A,B,C_raw,C_al,C_bug,dL,da,db,our_p05,cam_p05,our_p995,cam_p995,our_clip_lo,cam_clip_lo,our_clip_hi,cam_clip_hi,ar,dhash,err,path
0711,raw,DSC_5237.NEF,1,0,False,ok,0.9784,4.163,4.837,5.941,6.84,5.941,-1.451,1.523,3.592,18.0,18.0,245.0,205.0,0.018,0.015,0.58,0.059,1.5,d03838b466fbc9e0,,K:\data\photo\0711\raw\DSC_5237.NEF
0711,raw,DSC_5248.NEF,1,0,False,ok,0.9755,6.748,8.743,11.689,12.229,11.689,4.081,4.86,-2.293,14.0,4.0,174.0,187.0,0.284,9.95,0.0,0.106,1.5,f8f4f0f1c6e2e4d4,,K:\data\photo\0711\raw\DSC_5248.NEF
0711,raw,DSC_5250.NEF,1,0,False,ok,0.9784,6.748,8.837,11.434,11.889,11.434,4.086,4.744,-2.517,17.0,5.0,174.0,186.0,0.197,9.226,0.0,0.099,1.5,e8f0f4f0d4e2e1c4,,K:\data\photo\0711\raw\DSC_5250.NEF
0711,raw,DSC_5264.NEF,1,0,False,ok,0.98,2.349,3.97,6.244,7.062,6.244,-2.009,-0.878,0.842,3.0,3.0,250.0,226.0,4.125,4.018,0.647,0.135,1.5,c3c3a1a0e0e0e0c0,,K:\data\photo\0711\raw\DSC_5264.NEF
0711,raw,DSC_5271.NEF,1,0,False,ok,0.9903,2.041,3.793,5.272,5.469,5.272,-2.031,-0.069,0.184,5.0,7.0,159.0,139.0,5.384,15.677,0.059,0.282,1.5,e0e0b4cce4e8f0f0,,K:\data\photo\0711\raw\DSC_5271.NEF
0711,raw,DSC_5272.NEF,1,0,False,ok,0.9904,2.118,3.854,5.34,5.561,5.34,-2.105,-0.11,0.201,5.0,6.0,161.0,141.0,4.796,14.051,0.062,0.298,1.5,e0e0b4ece0e8f0f0,,K:\data\photo\0711\raw\DSC_5272.NEF
0711,raw,DSC_5274.NEF,1,0,False,ok,0.9928,2.571,4.176,5.584,5.747,5.584,-2.556,-0.187,0.198,7.0,7.0,158.0,150.0,2.112,13.303,0.013,0.348,1.5,e0c0506af0f0f0e8,,K:\data\photo\0711\raw\DSC_5274.NEF
0711,raw,DSC_5276.NEF,8,-1,False,ok,0.9849,1.216,5.497,7.365,7.722,46.464,-1.015,-0.393,0.544,4.0,6.0,253.0,230.0,4.83,11.404,3.745,1.321,1.5,795ff6eefafcf8f8,,K:\data\photo\0711\raw\DSC_5276.NEF
0711,raw,DSC_5300.NEF,1,0,False,ok,0.9941,3.114,4.656,5.403,5.747,5.403,-3.05,0.411,0.475,2.0,3.0,152.0,155.0,32.403,36.997,0.006,0.073,1.5,f0f0f0f0f0e4b0b0,,K:\data\photo\0711\raw\DSC_5300.NEF
0711,raw,DSC_5301.NEF,1,0,False,ok,0.994,3.108,4.648,5.402,5.752,5.402,-3.04,0.406,0.502,2.0,3.0,152.0,155.0,32.216,36.878,0.004,0.061,1.5,f0f0f0f0f0f5b0b0,,K:\data\photo\0711\raw\DSC_5301.NEF
